did,group,followers_count,total_likes,avg_jump_size,valid_post_count
did:plc:s3bem7mapxyocynldw6sfof4,INFLUENCER,72461,185985,140.1270285394516,1787
did:plc:ecjlc5ouev63oweq5en4lsj3,INFLUENCER,70826,154804,161.1624548736462,1108
did:plc:joyalc27rb4kpkf2dkdc7xji,INFLUENCER,70122,50170,203.5861111111111,360
did:plc:zfxleieljvq3rz7xbocois23,INFLUENCER,69126,156564,148.8858024691358,1296
did:plc:otvsdnwirgfxhiapsz6jxq5p,INFLUENCER,66744,8561,31.656,375
did:plc:vwql7wouoeyj7iyu44ahz3w7,INFLUENCER,65600,25015,19.980626780626785,1755
did:plc:dkavlwr7rwar2rwnxvig7wjy,INFLUENCER,65285,1832,20.194444444444443,108
did:plc:zwlj2d6nr2yun2poyvokffjy,INFLUENCER,63723,134032,75.2383773928897,2194
did:plc:g62tajye723r3fa4gqw7l7ql,INFLUENCER,63029,268781,286.7559580552908,1049
did:plc:diz2xwx6kf4wbdndyz6pdskk,INFLUENCER,62506,75238,30.08999441028508,3578
did:plc:lnapbhc6j7bau6t3cjvvnpbl,INFLUENCER,62241,237110,497.0621931260229,611
did:plc:uqzjgn74fpes4yqirk4s67vk,INFLUENCER,61002,5297,137.6818181818182,44
did:plc:ncyjeks5r5pjxm5xi2fasp3w,INFLUENCER,60539,16333,14.195221148957804,1967
did:plc:ft4gwdn3b552cg4eidqfz7gm,INFLUENCER,59791,32985,15.20856610800745,2685
did:plc:ql3o6uupf5vsfhaudmtw32tj,INFLUENCER,59720,5210,14.1824686940966,559
did:plc:qpr4gjglvtxexsaqpbwtna6w,INFLUENCER,56770,220228,145.12572027239392,1909
did:plc:s3g4mcyw3dubqqjnhlrisfkl,INFLUENCER,56623,2206,6.028708133971292,627
did:plc:t5miozbwodfw72n64d42phil,INFLUENCER,56116,14479,8.788762146176595,2367
did:plc:tomnflsxthd6kgymorm6hifh,INFLUENCER,55042,14068,20.67717287488061,1047
did:plc:46jx7jjivmk3ge4n2yfysw6t,INFLUENCER,54898,46489,51.501285347043705,1167
did:plc:qsmmhv4u2ygx2thvepti77zc,INFLUENCER,54464,17564,18.55221843003413,1465
did:plc:rtjcwrrc6f2lkildglhz3zyj,INFLUENCER,53617,49207,59.2419512195122,1025
did:plc:53n54gjixfukqx56qyjnxmkn,INFLUENCER,52992,425366,187.3029612756264,2634
did:plc:sva5ad6pbtkgrdrqyej2fe2f,INFLUENCER,51600,141033,182.46659707724424,958
did:plc:fzymndyho7vyvoom2kh2pu4l,INFLUENCER,51302,9611,12.76771653543307,1016
did:plc:nopmoc4uaciejggbjgpvwucj,INFLUENCER,50454,6365,11.385204081632653,784
did:plc:kezlybzkhwy4jarcmakvx7r5,INFLUENCER,49531,25037,46.3382949932341,739
did:plc:fjiupdolgwv45olxgrqgfhjk,INFLUENCER,48931,337707,177.44147465437788,2170
did:plc:s3m33wvdsixxr2ifnkldlfp3,INFLUENCER,48667,89476,492.4351145038168,262
did:plc:xjnxcxe2pn5lwp6z2gxapbrl,INFLUENCER,48458,129907,78.71252465483235,2028
did:plc:3siox3kiqgw63wuh6k32kymn,INFLUENCER,48290,6449,4.463850837138509,2628
did:plc:r5qqbgz6n5huvcsvzzm6fsit,INFLUENCER,48070,75244,32.115201090661216,2934
did:plc:lmp6gv662sgzurgqepbgxe56,INFLUENCER,47859,7761,4.885092127303182,2985
did:plc:cgg4li7ufbtawkn2ddldpnm5,INFLUENCER,47120,46973,40.94229364499635,1369
did:plc:txx6is4ymahmegaszqq4vpou,INFLUENCER,45790,67850,142.59691252144083,583
did:plc:3cuooxbpjwpetgmytd7lwjxb,INFLUENCER,45628,526457,199.6989319092123,2996
did:plc:cxol7azljtfaafvg3ybcfnsp,INFLUENCER,45518,15778,10.152562574493444,2517
did:plc:jv2uge2xcpzypf3lgzmlpus4,INFLUENCER,45412,67934,32.051772202309834,2511
did:plc:gq7sqvj2vhxvs2attbr72vni,INFLUENCER,45252,291218,848.9341463414634,410
did:plc:gm2nlujgwecuohgx4bo66ykc,INFLUENCER,42846,3119,6.9213349225268175,839
did:plc:lyblenqvfetjzcdy76w6ohyy,INFLUENCER,42585,28973,15.791460396039604,3232
did:plc:frsgwnofwno2huewodkaeez2,INFLUENCER,41959,52719,121.2495575221239,565
did:plc:j26mwwrlkfqsy2thubwg7or6,INFLUENCER,41859,140414,53.35609603991269,3207
did:plc:jfj2upexgpz2zkbc7uu5rk3x,INFLUENCER,41841,25472,77.53239436619718,355
did:plc:am76ptemaw3eordgfoyrwepi,INFLUENCER,41539,30206,20.42817196784341,2861
did:plc:6lex766uif2o6hcu2cawgxsg,INFLUENCER,41085,117765,54.9693094629156,2737
did:plc:giyhtnohlgplrqtil7cindva,INFLUENCER,40960,668,113.0,7
did:plc:dry4szhzrm3uq6c4xex5kfrc,INFLUENCER,40540,76951,44.118061674008814,2270
did:plc:f6w6d4zcq46cp5asmq6m7lvp,INFLUENCER,40074,8481,11.976167778836988,1049
did:plc:yihi2vf3buc4lqphyhbqk3kf,INFLUENCER,39964,851,6.810945273631841,201
did:plc:pwxb6edrpipmghi3zqvehdzf,INFLUENCER,39116,208,5.1891891891891895,74
did:plc:jtd2eitlfbko3amg6htrsjgi,INFLUENCER,38979,24473,174.46629213483146,178
did:plc:uq73hz3mc7pk6z43j7d4asc6,INFLUENCER,38604,11188,13.739341085271318,1032
did:plc:cn62jevzhmar3x5fia5ulfns,INFLUENCER,38349,27015,15.412847483095415,2662
did:plc:cdqbxraqtq36uaszhddqq6hg,INFLUENCER,38034,2147,11.007936507936508,252
did:plc:qrw2fun5ahsqvx73k5geleme,INFLUENCER,37770,6909,30.99,300
did:plc:wvtwsjgvhu6ppzhbclzd6y76,INFLUENCER,37760,75050,70.54746136865342,1359
did:plc:umxbosgtybxsxgwy7riwyelq,INFLUENCER,37547,28068,118.37722419928824,281
did:plc:h2izvxjzgsd5sp7cta6adfai,INFLUENCER,37416,5476,8.7,1010
did:plc:scwrdl3lzhvpfnju2lcleqv7,INFLUENCER,37315,8549,5.462420382165605,3140
did:plc:vuvpxavjfcuiqdcjety37loc,INFLUENCER,37248,49704,32.23894795747062,1787
did:plc:jtbscn3p2yhy6fojxn463pic,INFLUENCER,37192,1697,4.584873949579832,595
did:plc:vpu4gshk36bpqa2mapn6p5sl,INFLUENCER,37049,732,9.68695652173913,115
did:plc:p3igmdyqlcmf5e3snrptywoj,INFLUENCER,36896,9419,12.275412684622069,1151
did:plc:hyssmvj5d4tudue4ali4qotd,INFLUENCER,36867,31699,77.30022075055187,453
did:plc:zclgpwg6sdp7bpkxnzqlxwcm,INFLUENCER,36705,26714,20.9860494610019,1577
did:plc:2i7k3wbwkjddk3xfnfum6jmn,INFLUENCER,36620,3810,19.22093023255814,258
did:plc:7zirbg4645hu4lu7zscbcgxw,INFLUENCER,36343,1480,5.741176470588235,425
did:plc:fqz767ikcbgk7yifapygtxeh,INFLUENCER,36317,193628,217.016157989228,1114
did:plc:lbmcnsspck3rqesuwa6cigec,INFLUENCER,36233,380,5.465517241379311,116
did:plc:krtgzfixmfafx4ndpywlfmsm,INFLUENCER,36163,26716,11.87230215827338,2780
did:plc:zhk2dlmrwu2hv2b4cohxtgm4,INFLUENCER,35806,51206,37.509850746268654,1675
did:plc:ifwqmdmdbj4wjyp6mtkdolue,INFLUENCER,35427,56708,26.292873413602344,3073
did:plc:iw6bnf365diccdvymdexad5q,INFLUENCER,35108,5366,3.9038933707471055,2851
did:plc:tx677uofb2j5u5ehrstnwv6i,INFLUENCER,35040,4613,6.881017257039056,1101
did:plc:f5h6t3h4sqy77wdwylyzvpfg,ZOMBIE,34936,231,2.2451923076923075,208
did:plc:3id5k3wbalthrnbvjjv5xpjk,INFLUENCER,34532,12288,24.22641509433962,689
did:plc:nhaz2jyld73m5tmz422kxhtr,INFLUENCER,34375,21466,30.39921722113503,1022
did:plc:ki27quedk633w437xz3smlys,INFLUENCER,34057,40787,118.28444444444445,450
did:plc:u7nnv7wluoc3fuuz7e4idccr,INFLUENCER,33877,6197,147.08219178082192,73
did:plc:ajqj7bn2gcmmaramw342hxcu,INFLUENCER,33777,42915,52.475670307845085,1007
did:plc:gv3fzj6liegxvooyf75kv2fp,INFLUENCER,33603,1184,5.591549295774648,355
did:plc:iq6aw4tscf5n5oplggiyjfyl,INFLUENCER,33337,46439,109.0499001996008,501
did:plc:6ma4ud7ovt2cpuj6bncaf6gw,INFLUENCER,33300,100051,174.66272965879264,762
did:plc:ryv3mylanvvl2e6gvnp6biup,INFLUENCER,33001,1666,15.895604395604396,182
did:plc:fskttzn5lcsx2ivugmcpy4h7,INFLUENCER,32849,13338,31.69485294117647,544
did:plc:flxq4uyjfotciovpw3x3fxnu,INFLUENCER,32720,19163,50.27886710239651,459
did:plc:xx4at3byg3oggcqlslx4eghc,INFLUENCER,32650,89781,50.75668129238133,2507
did:plc:jsv4bjrr6di2er7k2huhrsl2,INFLUENCER,32544,47098,51.62260711030082,1097
did:plc:mivey63nzylfflvmmjoqcf6u,INFLUENCER,32454,100921,49.15472175379426,2372
did:plc:ajbkc7i7vxcuuvlcsuc5475c,INFLUENCER,32331,5238,17.700239808153476,417
did:plc:n2z6qje4wxapvvqsb2zt343x,INFLUENCER,32297,8487,19.20032310177706,619
did:plc:wxltlhckiv7jkads72abo45c,INFLUENCER,32149,4342,5.082763337893297,1462
did:plc:xv3uhpikuu5cejynhczcewdp,INFLUENCER,32126,1079,8.251207729468598,207
did:plc:piahsdsohf42zffj6djctpvq,INFLUENCER,31967,2976,98.92105263157896,38
did:plc:hka4xyey6ija624rgmvvqqm5,INFLUENCER,31595,3794,5.012510425354462,1199
did:plc:bielgdloyvh53gmlcnlabmdb,INFLUENCER,31542,15932,40.64674868189807,569
did:plc:nd7canv3vgwuk6deefrlsmob,INFLUENCER,31367,10453,43.96219931271477,291
did:plc:d2vg3ev62rmv4zrivswlpeim,INFLUENCER,31334,13891,8.083852068839253,2731
did:plc:y5t3tgyytllqmju25v3s4ejs,INFLUENCER,31311,53637,24.366550116550115,3432
did:plc:lp3e77mdabccgcprvoxsn7zp,INFLUENCER,31311,402270,143.08905613044843,3189
did:plc:2i6rvgsqch65kpubkvkasaaz,INFLUENCER,31309,1428,14.950819672131148,122
did:plc:paibcibiabs2rezrk5vikuy6,INFLUENCER,31284,10835,6.622871046228711,2466
did:plc:sjvrn4txqhsp6xafzf6bpss2,INFLUENCER,30743,8538,27.89648033126294,483
did:plc:um3dlpu4s64lwq4lmqyo3dni,INFLUENCER,30349,14489,101.40092165898618,217
did:plc:om5lcngd6ua2xteuswsusa4m,INFLUENCER,30299,91496,39.31452493629414,2747
did:plc:2c4hmyxdfk4aky3jeoulhog5,INFLUENCER,30241,82058,59.62783925451369,1717
did:plc:zqllvkrtqv6fhoqgxkroojfa,INFLUENCER,30240,5503,7.183836589698046,1126
did:plc:mitqpesiftfhrr6w6bpfqyjf,INFLUENCER,30175,1395,89.9,20
did:plc:5cwjgnfc2w7j3ylytnsvb2oc,INFLUENCER,30022,2154,5.461426491994177,687
did:plc:64qz47q6utmviqo6ueqfpds3,INFLUENCER,30020,80854,597.328947368421,152
did:plc:ru5zioxqfv6fctxyl45qqcj7,INFLUENCER,29819,50505,569.5809523809523,105
did:plc:bvkk4kkuavnhqrwapc34wtfp,INFLUENCER,29790,15236,9.251143158635244,2843
did:plc:smk6nz26lk2h5sohkmzc67aa,INFLUENCER,29756,3667,8.95777027027027,592
did:plc:exxuoika2qlqlk7oidz3pkq7,INFLUENCER,29574,98454,32.28935121817684,3653
did:plc:aixsk56es7lwhmva54ghdqdi,INFLUENCER,29175,52536,60.925523012552304,1195
did:plc:anpfslmr5xhyw7oqzai3dprd,INFLUENCER,29100,6753,6.054919004346108,2531
did:plc:sug5rfof7ufk45lo5mnbytuv,INFLUENCER,28883,1043,13.034188034188034,117
did:plc:ecd7o2kgjtaq2exh2uwa7hhd,INFLUENCER,28874,44148,18.0225415610031,3549
did:plc:a65yyvbrf6ejdqimxssncuo5,INFLUENCER,28863,63167,155.90408163265306,490
did:plc:b2nvxgipvmqraxogjxaaugzf,INFLUENCER,28558,67272,41.36723163841808,2124
did:plc:5h5jfgi7vuqp4bkfogcntzep,INFLUENCER,28472,117206,79.2303664921466,1719
did:plc:vjzvgcmeqk4ahsat2o3xymoy,ZOMBIE,28452,1338,2.954599761051374,837
did:plc:ma72lceltwgsljaa32aklntf,INFLUENCER,28336,152645,128.49577464788732,1420
did:plc:lxy2qcslv2mw5hlpwh7w5c2t,INFLUENCER,27790,70750,28.905393712143063,3467
did:plc:hhqzjk3wuvan75wdnacitt2m,INFLUENCER,27666,102572,53.6176582038651,2639
did:plc:6wmgoefo3hzsfbq2q7gb4gh3,INFLUENCER,27665,9090,13.765830346475507,837
did:plc:7yg5t264ac6ulsxg55o6fjxx,INFLUENCER,27615,3733,3.65796082370668,1991
did:plc:uxlwn267y3o5bppge5t5bnjr,INFLUENCER,27530,25993,21.884004884004884,1638
did:plc:ojrvdrahht7pabuau2u6uwey,INFLUENCER,27374,1258,6.828467153284672,274
did:plc:cgazwvrleox56imz53fjzaou,INFLUENCER,27370,22346,74.27714285714286,350
did:plc:wrni5ebeevtsz2oys375xqrm,INFLUENCER,27216,75066,94.83666061705988,1102
did:plc:tu2p7ggf43h4x6cmtvxcnklg,INFLUENCER,27108,87343,45.904332654841525,3439
did:plc:i34es6mhnq6urasndlgl75np,INFLUENCER,27103,16140,32.21223470661673,801
did:plc:5hr263qe5trmc7kmnvzzk72s,INFLUENCER,26963,678,3.327433628318584,339
did:plc:rcmkgl3w5fc3mt7qawbsyown,INFLUENCER,26935,2654,5.76159793814433,776
did:plc:5kda3zanvclexxdsthihrhzd,INFLUENCER,26758,12241,7.474174428450466,2362
did:plc:s6yp6jam5og3tftozaw7pjth,INFLUENCER,26736,160559,178.0514640638864,1127
did:plc:kronnfm4kz2hsbadw3jhgduv,INFLUENCER,26710,8654,26.874226804123712,485
did:plc:2dxpuidhcdcttgrijicsphp2,INFLUENCER,26580,78511,189.2661870503597,556
did:plc:nwrb6z674vdpx77y22obaahh,INFLUENCER,26448,35487,16.148255813953487,2752
did:plc:7dqczc7w2nts6lhignw7drfm,INFLUENCER,26334,191841,69.33173221254879,3331
did:plc:p7n4bntx7xjp4r4hq7dvreij,INFLUENCER,26268,1030,9.17032967032967,182
did:plc:yve7ll3sljstbut26dwii7jj,INFLUENCER,26262,39551,493.46590909090907,88
did:plc:k4vo4szq7mlictqojqavc32k,INFLUENCER,26234,6723,4.7626280466266335,2831
did:plc:agj2iroeelhktveo4t76fzl4,INFLUENCER,26141,53584,282.37219730941706,223
did:plc:rkoe4ypzobig4w6be2mtcm5m,INFLUENCER,26005,151116,71.96037296037296,2574
did:plc:qn4rqs5wkdmhjz6vpkiiqzdl,INFLUENCER,25877,4958,8.94822006472492,927
did:plc:4udfwegzj4oqug2rkkp277hn,INFLUENCER,25851,14761,22.65830721003135,957
did:plc:xlg7iwj4nmrhm4tccak3xnib,INFLUENCER,25765,2072,6.962105263157895,475
did:plc:vout4bqnh5nkmbkv67uuorhm,INFLUENCER,25587,2283,29.991596638655466,119
did:plc:6vwhi5d44wq5ttdhu5rrfbx3,INFLUENCER,25577,164212,79.40231213872832,2595
did:plc:jr47aeyvm642bqqohgsaphb4,ZOMBIE,25544,914,2.167482859941234,1021
did:plc:yycqm7uzpp5uagobc2pi4umy,INFLUENCER,25472,11575,6.398461538461539,3250
did:plc:46inhldixauneekgc7prj42f,INFLUENCER,25402,45734,60.63344407530454,903
did:plc:x4oml3nfdunjgz2rrz2ae2yj,INFLUENCER,25350,1680,4.099280575539568,695
did:plc:ne3zbr3lnweluzwuhzz4yqto,INFLUENCER,25176,4450,34.22093023255814,172
did:plc:mi7gat7zx2k2nwh4fyx6wr2f,INFLUENCER,24982,3814,4.941328731665228,1159
did:plc:6raox26fiwe7dfn4v6bun5sq,INFLUENCER,24930,101342,939.1129032258063,124
did:plc:ywdrhkssnvgtfyujsz45jnlb,INFLUENCER,24630,36327,90.14591439688716,514
did:plc:nfeg2cwmindiuqmfvicxvi2n,INFLUENCER,24605,8247,29.31524547803617,387
did:plc:mfuof533xeg4ryue6ljuepv7,INFLUENCER,24575,36253,55.79050925925926,864
did:plc:w26edbpr2uswd43ys4a7jngd,INFLUENCER,24452,2750,16.402173913043477,276
did:plc:bifru6gkqpxfnwgoeog7wkae,INFLUENCER,24414,23757,9.434684684684685,3108
did:plc:h2xgujjuk2qfzzlehwtycgm7,INFLUENCER,24349,9026,5.421394543092248,2309
did:plc:ljqtyxnvlgstrplzika2n2l7,INFLUENCER,24315,6387,12.954301075268818,744
did:plc:fk6jif2mrkesj6w7tg4jkkq7,INFLUENCER,24210,8436,27.872773536895675,393
did:plc:j5itcajzspjeqsnnkgj2zsyx,ZOMBIE,24039,3110,3.0065406976744184,2752
did:plc:zqtu3moe26jgrze4pi5bidjf,INFLUENCER,24006,19556,9.419809523809525,2625
did:plc:ogr2kgp3iifzkxwdy2m4lvdg,INFLUENCER,23917,1215,6.93,300
did:plc:vg7p6m5lgtzmq4ibzix6q56g,INFLUENCER,23889,11174,7.984175599795814,1959
did:plc:dww3bzawcpjiiljefk3gv4zx,INFLUENCER,23761,2866,4.4511494252873565,1044
did:plc:ep4ecfghdfre2jr7jegwvt5x,INFLUENCER,23758,7165,33.37692307692308,260
did:plc:ttlo47nsxjsrcoph5rzsejc5,INFLUENCER,23721,542,32.76190476190476,21
did:plc:kd32m4vfzo5ngsgga4u3vybr,INFLUENCER,23266,1319,4.354969574036511,493
did:plc:qxv7vd77zyb3dwiocgm3aawe,INFLUENCER,23166,10794,145.84883720930233,86
did:plc:vna27c3affmyjfhnk6vwvsge,INFLUENCER,23113,4007,5.319111111111111,1125
did:plc:l7l6gqa2fktdohsaquj4blyu,INFLUENCER,23071,648,12.49367088607595,79
did:plc:wobd7kca6ine2hjnyoaxsbai,INFLUENCER,23066,29161,20.96108152396559,2441
did:plc:fhh462bmilqyehkysplk7nwp,INFLUENCER,23064,2634,3.828966521106259,1374
did:plc:okcespxny2ssszww7373rb4q,INFLUENCER,22970,27904,25.695918367346938,1470
did:plc:l72uci4styb4jucsgcrrj5ap,INFLUENCER,22912,1801,16.786206896551725,145
did:plc:labjxxmh2tn3gtxkondq7wi7,INFLUENCER,22860,8307,4.48480930833872,3094
did:plc:m2rbqu7titxycvtd33yl7gim,INFLUENCER,22823,8707,48.26515151515152,264
did:plc:dpvtxtoku5dbv63xfklj5x52,INFLUENCER,22817,2883,13.942567567567568,296
did:plc:eklz72wsn72tts77cmbxxaeo,INFLUENCER,22792,106570,43.56241134751773,2820
did:plc:x24vdgjb4lc4mf3m7rq7xh2j,INFLUENCER,22716,89309,147.4164490861619,766
did:plc:7u6zr3pkbmnp6daythoshw34,INFLUENCER,22617,2912,5.627027027027027,925
did:plc:xxvqi4ca7wumhk6oygkdavyz,INFLUENCER,22471,23145,27.363070539419088,964
did:plc:6yvceec5j3d7h263v35vw43j,INFLUENCER,22448,32295,20.18765432098765,2025
did:plc:mf4564uk2rjg47utofwbjazp,ZOMBIE,22328,541,2.9827586206896552,348
did:plc:xbajicvb6j437zfqvrizki5u,INFLUENCER,22249,29442,835.425,40
did:plc:ewqbpdld5rqjvei24k24dg2o,INFLUENCER,21971,469,4.649717514124294,177
did:plc:hqzxqh634sd546rfoazslb5h,INFLUENCER,21962,111926,155.28863346104723,783
did:plc:cf26plxwia7dxpm6plry3sj2,INFLUENCER,21929,155882,64.25570490778368,3199
did:plc:d7pbezkj4lbzssd7dh4ykpbh,ZOMBIE,21794,1299,2.959869848156182,922
did:plc:dahhirvxyp3d5kfnx3vafuxm,INFLUENCER,21688,15115,9.44400871459695,2295
did:plc:hb5s4bd5ctk6inznrn6gf6hx,INFLUENCER,21614,3624,9.993839835728952,487
did:plc:7rrhu7ltctnoroqgdgqghhoc,ZOMBIE,21598,1305,2.180408163265306,1225
did:plc:grue2ggbnc4pkukyw4esjqvu,INFLUENCER,21550,31648,41.84248210023866,838
did:plc:rz7ixyyf27wa55xophug62uo,INFLUENCER,21542,2269,5.098674521354933,679
did:plc:v4glrbzyoin574ixpjf2epwr,INFLUENCER,21507,41698,68.81155015197568,987
did:plc:zhglb2ub3qwkn2kpxlwekst3,INFLUENCER,21482,58920,45.322339763534536,1607
did:plc:gzz7m27udqspuplqihbhszrq,INFLUENCER,21465,5257,3.913683373110581,2514
did:plc:tx36xhx4r6cpzlv5ywwvakcm,ZOMBIE,21429,11,2.4,10
did:plc:e7fqsyqs5qfjl6l56xvjnsup,INFLUENCER,21128,4375,4.914502849905003,1579
did:plc:tvezw2xi5waqlndfpzvulk74,INFLUENCER,21105,245,3.2076502732240435,183
did:plc:neaqodzh6i24dhm7i2pumog6,INFLUENCER,21070,5421,4.153696498054475,2056
did:plc:2245x6sqmbiueuqzhjwllydb,ZOMBIE,20978,118,1.0961844197138315,1258
did:plc:qepiktqtkvdnss4gk72rvfj3,INFLUENCER,20858,977,21.484848484848484,66
did:plc:hagrcfaybehiskn6ji7tuagr,INFLUENCER,20855,1375,4.251908396946565,524
did:plc:zk6blqdxvosgujgsl2yauhce,ZOMBIE,20816,3253,2.4064217529649987,3457
did:plc:alkw247mvpphfxftyya5opwt,INFLUENCER,20777,902,85.36363636363636,11
did:plc:3i4lwg7xk3njbf653omehl6u,INFLUENCER,20740,1649,6.654117647058824,425
did:plc:3ag6mcyvjgnjebcg6fu5vf5f,INFLUENCER,20739,5222,5.242705570291777,1508
did:plc:5h3h4w3bit226m3a2vzdtvtx,INFLUENCER,20629,1358,7.537671232876712,292
did:plc:t62gifd6ujdl5qnjcblyg5ef,INFLUENCER,20577,9239,56.35148514851485,202
did:plc:ynkto4442x664bjbwyafgovu,INFLUENCER,20534,2257,10.14240506329114,316
did:plc:jfepbo63fkxapsd65beyymof,INFLUENCER,20531,5844,31.45679012345679,243
did:plc:5cbiyw3ekl2ulzaifdzhn4fa,INFLUENCER,20479,5939,7.737261146496815,1256
did:plc:5wr2kzkvx4u7ij6scc5firom,INFLUENCER,20426,2155,26.808695652173917,115
did:plc:bp5v6oxhwy2glxuclvpp37it,INFLUENCER,20417,1739,23.348837209302324,86
did:plc:unuaxc7pg44rxspjrzh3ilsw,INFLUENCER,20381,4628,18.764705882352946,289
did:plc:rjdfeeu7quv5j56b5tdlo6ej,INFLUENCER,20339,7260,4.454831107619796,2546
did:plc:oel5uaffnhabaqarpavzhmkw,INFLUENCER,20289,4211,6.217464315701092,1191
